station_id,date,spi1,spei1,spi3,spei3
18011,11/30/2022,0.215027422,0.174361281,,
18011,12/31/2022,-6.253145806,1.498070426,,
18011,1/31/2023,0.790536768,-0.28359192,-1.3543092,-2.869405602
18011,2/28/2023,0.003458014,-0.262580262,-1.400034388,-7.1771744
18011,3/31/2023,-0.173067969,-4.111347419,-0.301525185,-3.079974841
18011,4/30/2023,-1.318949348,-6.543616194,-1.365972274,-4.305766972
18011,5/31/2023,1.170429343,0.04593872,0.046661942,-0.491956981
18011,6/30/2023,-0.39194671,0.566671766,1.178066282,-0.053893359
18011,7/31/2023,-0.983810313,-3.573109301,0.051348962,-0.011022959
18011,8/31/2023,0.064867182,-4.848875786,-0.083568952,-3.403706131
18011,9/30/2023,0.041600472,0.030986488,0.039895483,-3.809321187
18011,10/31/2023,-0.019748546,0.026537752,0.053268548,0.137868126
18011,11/30/2023,-6.3831189,-5.927222822,0.001638084,0.127503508
18011,12/31/2023,2.075683226,1.307440791,0.031304075,-1.383309853
18011,1/31/2024,2.725314551,0.056169748,0.976709808,0.05026119
18011,2/29/2024,-6.496090496,-3.312623107,0.78329948,0.336234992
18011,3/31/2024,2.61668002,0.293922896,0.336083008,0.037624011
18011,4/30/2024,0.216416576,-0.064616657,0.437332729,0.064157483
18011,5/31/2024,0.098436791,0.020507401,1.960309028,0.147656132
18011,6/30/2024,2.843359071,1.283072035,3.683578393,0.015312458
18011,7/31/2024,2.801886117,0.078149451,1.198062053,0.126538927
18011,8/31/2024,-0.889951432,0.257685752,2.778047928,0.145008884
18011,9/30/2024,0.030668602,-2.516635035,0.029053916,0.014200669
18011,10/31/2024,-0.030518097,-1.383759401,0.042444957,-6.202424992
18011,11/30/2024,2.28380616,0.382918591,-0.009259092,-4.339590212
18011,12/31/2024,0.804541516,-6.945619051,0.020480388,0.019482637
18011,1/31/2025,-5.151974606,-5.013861562,0.382137846,-0.015965719
18011,2/28/2025,2.938414888,0.050993432,0.659813315,0.40670273
18011,3/31/2025,-6.175396048,-0.281148514,0.0123166,-0.087825259
18011,4/30/2025,1.105970065,0.375695715,0.964840725,0.09203332
18011,5/31/2025,-1.26629541,-3.174989104,-3.486292132,-4.582511584
18011,6/30/2025,-7.289522364,-6.67023823,-1.664434818,-1.779799419
18011,7/31/2025,-8.192385908,-0.309417999,-1.249422543,-3.950678761
18011,8/31/2025,1.084345395,0.284528974,-4.877848002,-0.100841764
18018,5/31/2020,0.970776185,1.666004318,,
18018,6/30/2020,0.446958742,0.058982682,,
18018,7/31/2020,-5.852777466,0.047775106,0.254399862,0.337903275
18018,8/31/2020,0.519423992,0.065826382,-0.284137028,1.533269592
18018,9/30/2020,-0.613326126,0.160817572,-6.555042461,1.103097192
18018,10/31/2020,-0.546937346,0.078632123,-0.999063103,0.275781452
18018,11/30/2020,1.037130855,0.355791927,-0.148722233,0.276944897
18018,12/31/2020,0.93448667,0.276381394,0.028813758,0.135740745
18018,4/30/2021,-0.540919382,0.099993213,-0.955304678,0.505681971
18018,5/31/2021,-1.783769017,-1.66216705,-0.227082466,0.251395348
18018,6/30/2021,-3.502959304,-0.308286456,-1.401894787,-0.364620652
18018,7/31/2021,0.100123254,-2.804181524,-1.717413976,-5.42830861
18018,8/31/2021,2.186376875,-0.318423527,-0.702107746,-1.492779552
18018,9/30/2021,0.779349424,-0.099558257,0.499374822,0.148957033
18018,10/31/2021,0.751046313,-0.010437311,0.852157195,-0.218918573
18018,11/30/2021,-7.932266712,-0.087584975,0.15961345,0.016274009
18018,12/31/2021,0.701861096,-0.693311061,-0.43704996,-0.04704353
18018,1/31/2022,1.212430727,0.181536527,2.016129082,-0.088347032
18018,2/28/2022,-5.64039236,-4.539995445,0.941753654,-0.178797016
18018,3/31/2022,0.019928523,-0.076845882,0.465070825,0.088811061
18018,4/30/2022,0.698577011,-0.178441325,-0.077288508,-0.330836739
18018,5/31/2022,0.407861422,0.112670761,0.09187464,0.179593243
18018,6/30/2022,1.517924344,0.391490014,0.790950383,0.375604815
18018,7/31/2022,-0.179170085,-0.199685588,0.676376624,0.110544046
18018,8/31/2022,-0.430727299,-4.09414627,0.52171107,-0.948243997
18018,9/30/2022,-0.841621234,-7.082915811,-1.009456885,-6.942714856
18018,10/31/2022,-4.777742688,-2.492284984,-4.15168427,-6.255021805
18018,11/30/2022,0.127306428,-0.288078896,-5.37844091,-4.926247296
18018,12/31/2022,-6.532931613,-0.109078956,-4.709944782,-2.481091801
18018,1/31/2023,-0.483053058,-0.813631899,-2.1306807,-7.397777804
18018,2/28/2023,0.919085984,-0.107877462,-5.980467917,-3.864042687
18018,3/31/2023,1.100048552,-0.068559561,0.849374503,0.031044781
18018,4/30/2023,1.694197274,0.051859776,1.385012413,0.154564903
18018,5/31/2023,0.926929545,0.139028327,0.358983538,0.247005767
18018,6/30/2023,1.195139994,0.621881827,1.260898895,1.454471921
18018,7/31/2023,2.597715343,-0.027934308,1.223332644,0.222391513
18018,8/31/2023,-0.430727299,-0.779189078,0.825339082,0.337157509
18018,9/30/2023,2.524521855,0.444875479,2.285461918,0.739202792
18018,10/31/2023,2.23982408,0.057824314,2.39538501,0.044343562
18018,11/30/2023,-0.855831436,-5.882872065,2.104909282,0.208945513
18018,12/31/2023,2.61289813,0.139587026,1.432373213,0.057060093
18018,1/31/2024,2.580849567,0.389765776,3.325633832,0.475383345
18018,2/29/2024,1.081123248,-0.386862574,2.473028813,0.166418163
18018,3/31/2024,1.135404337,-0.048717539,1.66603971,0.369774094
18018,4/30/2024,0.649312025,-0.182698384,0.874593272,0.001956028
18018,5/31/2024,0.272073712,0.316317018,0.225024191,0.235956127
18018,6/30/2024,0.488921633,-0.246098138,0.228148575,0.029336275
18018,7/31/2024,2.6311761,0.051979643,0.462415479,0.197248601
18018,8/31/2024,2.050797105,-0.174994264,0.427667493,0.368771161
18018,9/30/2024,1.062136873,0.204027557,1.728486567,0.916862793
18018,10/31/2024,2.771791824,0.038567504,1.940492247,0.028001005
18018,11/30/2024,2.144129111,0.15450221,2.067448706,0.19072539
18018,12/31/2024,0.107873526,-5.165139504,1.028014828,0.037744838
18018,1/31/2025,-7.656975507,-4.872830435,1.424396354,-0.998051856
18018,2/28/2025,2.236767444,0.118875022,-0.18407364,-0.156857982
18018,3/31/2025,-0.67448975,-2.147362585,-7.796215647,-5.970318044
18018,4/30/2025,-0.841621234,-2.461274091,-1.201698364,-7.032501173
18018,5/31/2025,-0.795005756,-0.596689728,-0.194562234,-3.604490535
18018,6/30/2025,-0.17848961,-5.935393124,-0.875055819,-1.579471769
18018,7/31/2025,0.811005965,0.056837258,-0.849371983,0.085046366
18018,8/31/2025,2.955161591,-0.244804627,-0.29319568,0.119354822
18019,8/31/2023,0.430727299,0.465112419,,
18019,9/30/2023,0.044066637,0.037346823,,
18019,10/31/2023,0.011434754,0.006850539,,0.044009667
18019,11/30/2023,-0.009345,-1.382995782,,-2.736323914
18019,12/31/2023,0.027669629,-5.623263245,,-4.19617436
18019,1/31/2024,0.70671004,0.04917105,,0.107026384
18019,2/29/2024,0.011185883,-5.061847246,,0.090988787
18019,3/31/2024,0.022348229,0.253208897,,0.032872054
18019,4/30/2024,0.032160475,-7.798427064,,0.026889507
18019,5/31/2024,0.041693089,0.01526138,,-0.014928739
18019,6/30/2024,-0.02030766,0.007385292,,0.125701517
18019,7/31/2024,0.68253061,0.055050753,,0.087009404
18019,8/31/2024,3.998603412,-0.262289628,,0.381100358
18019,9/30/2024,0.03320684,-2.943959229,,-0.276732082
18019,10/31/2024,0.02216177,-2.297405941,,-6.230095084
18019,11/30/2024,0.001469507,0.028439518,,0.039715617
18019,12/31/2024,0.016881342,0.386410597,,0.044578146
18019,1/31/2025,0,-3.094732874,,-3.772738609
18019,2/28/2025,0.022114784,0.137571891,,-4.403948625
18019,3/31/2025,0.011558416,-6.019084235,,-2.096796883
18019,4/30/2025,0.043003357,0.413077904,,-4.356334853
18019,5/31/2025,0.030874211,-2.110466801,,-1.384608302
18019,6/30/2025,-0.031160896,-1.384376827,,-5.996768774
18019,7/31/2025,0,-3.235056135,,-3.912024768
18019,8/31/2025,0.430727299,-6.318939939,,-5.638895137
18022,8/31/2024,,0.136867817,,
18022,9/30/2024,,-0.007076262,,
18022,10/31/2024,,-0.013583738,,
18022,11/30/2024,,-0.049027482,,
18022,12/31/2024,,-0.872301151,,
18022,2/28/2025,,-0.005951762,,
18022,3/31/2025,,-0.006044696,,
18022,4/30/2025,,0.004009695,,
18022,5/31/2025,,-0.007338185,,
18022,6/30/2025,,0.237465473,,
18022,7/31/2025,,-0.608450794,,
18022,8/31/2025,,-4.826667559,,
18026,9/30/2000,0.570797614,0.614144266,,
18026,10/31/2000,1.644313847,1.833680252,,
18026,2/28/2001,-0.854525374,-0.240092175,1.00781668,-0.147093818
18026,4/30/2001,0.869678232,1.497103437,0.723618317,1.77346337
18026,5/31/2001,-1.828943155,-1.610229594,-1.049867197,0.227852867
18026,6/30/2001,-0.00325771,-0.968901438,-0.6591325,-0.191239539
18026,7/31/2001,2.150592156,-0.169741031,-0.502761969,-1.143899901
18026,9/30/2001,-0.229836033,-1.165647652,-0.0362533,-1.239392785
18026,10/31/2001,0.9897019,0.562678811,0.835191172,-0.276188134
18026,11/30/2001,0.397859424,-0.306850422,0.351764003,0.117950169
18026,12/31/2001,0.337511199,0.049073118,0.741887936,0.510652373
18026,1/31/2002,-0.407090219,-0.81522916,-0.170842706,-0.427132529
18026,2/28/2002,-0.791591913,-1.719392557,-0.727864076,-1.394229513
18026,3/31/2002,1.231157563,0.688264613,0.225280452,-0.410021047
18026,4/30/2002,1.635563891,1.398939797,1.279042907,0.78642421
18026,5/31/2002,1.106383919,1.145394793,2.084025251,1.364870722
18026,6/30/2002,0.833911288,0.422603867,1.211981741,1.2016702
18026,8/31/2002,1.710505336,0.632295543,1.403582459,1.300521968
18026,10/31/2002,-0.655524851,-1.173922843,-1.028448054,-1.911467901
18026,11/30/2002,-0.131001977,-0.806046896,-1.233309571,-1.882327945
18026,12/31/2002,1.025568081,1.396715924,-0.2939069,-0.430052607
18026,1/31/2003,-0.371981115,-1.207500244,-0.12555399,-0.119833345
18026,2/28/2003,1.575846054,1.555318913,1.024933043,1.376314685
18026,3/31/2003,0.651445231,1.15009242,1.13971726,1.20401308
18026,4/30/2003,0.628731316,0.713944477,1.45357793,1.355548365
18026,5/31/2003,1.417918433,1.187281731,1.768190066,1.27442859
18026,6/30/2003,1.91412106,1.577275131,1.630662709,1.338793001
18026,7/31/2003,0.541785265,0.123487632,1.475652475,1.463961189
18026,8/31/2003,1.899536224,0.389834117,0.904097887,0.774843067
18026,9/30/2003,0.993780108,1.087394457,0.249161425,0.676550998
18026,10/31/2003,-0.346857514,-0.95762572,0.026376396,0.672348248
18026,11/30/2003,0.927857965,0.891245293,0.557533489,0.89526857
18026,12/31/2003,-0.322683258,-0.428154728,0.004717697,-0.214100354
18026,1/31/2004,-1.061195185,-1.526685638,-0.242947569,-0.193611487
18026,2/29/2004,-0.943265986,-1.203230532,-2.422164586,-1.694094145
18026,3/31/2004,0.464705721,0.19991826,-0.688890069,-1.126676807
18026,4/30/2004,0.913810903,0.591202346,0.312681763,0.159866216
18026,5/31/2004,0.582135973,0.591185581,0.743310803,0.59233532
18026,6/30/2004,0.129035202,-0.306892982,0.264736013,0.428816069
18026,7/31/2004,0.430301674,0.033095163,-0.026424485,0.388959172
18026,9/30/2004,-0.158081927,-0.152787604,-0.850697595,-0.335150359
18026,10/31/2004,0.454563648,0.131188782,-0.611932488,-0.060704023
18026,11/30/2004,1.081645977,0.958259154,0.471630974,0.67979433
18026,12/31/2004,-0.539075789,-0.398862834,0.543471873,0.607345248
18026,1/31/2005,-0.733005046,-0.824804837,-0.087093198,0.246413193
18026,2/28/2005,0.451960634,0.476994625,-0.541610929,-0.263411389
